row_type,year,race_name,session_name,session_kind,team,reference_driver_code,comparison_driver_code,reference_lap_number,comparison_lap_number,reference_lap_time_s,comparison_lap_time_s,matched_gap_s,compound,reference_stint,comparison_stint,stint_lap_index,weather_bucket,track_status_bucket,reference_position_start,reference_position_end,comparison_position_start,comparison_position_end,skip_reason
matched_pair,2026,Australian Grand Prix,Race,race,Cadillac,BOT,PER,7.0,25.0,87.457,87.093,-0.3639999999999901,HARD,1.0,2.0,7,dry,green,19.0,19.0,16.0,16.0,
matched_pair,2026,Australian Grand Prix,Race,race,Cadillac,BOT,PER,8.0,26.0,87.364,88.588,1.2239999999999895,HARD,1.0,2.0,8,dry,green,19.0,19.0,16.0,16.0,
matched_pair,2026,Australian Grand Prix,Race,race,Cadillac,BOT,PER,9.0,27.0,87.679,88.352,0.6730000000000018,HARD,1.0,2.0,9,dry,green,19.0,18.0,16.0,16.0,
matched_pair,2026,Australian Grand Prix,Race,race,Cadillac,BOT,PER,10.0,28.0,87.661,89.249,1.5879999999999939,HARD,1.0,2.0,10,dry,green,18.0,18.0,16.0,16.0,
matched_pair,2026,Australian Grand Prix,Race,race,Ferrari,HAM,LEC,31.0,28.0,83.129,83.089,-0.04000000000000625,HARD,2.0,2.0,3,dry,green,4.0,4.0,4.0,3.0,
matched_pair,2026,Australian Grand Prix,Race,race,Ferrari,HAM,LEC,32.0,29.0,83.185,82.987,-0.1980000000000075,HARD,2.0,2.0,4,dry,green,4.0,4.0,3.0,3.0,
matched_pair,2026,Australian Grand Prix,Race,race,Ferrari,HAM,LEC,40.0,37.0,82.55,83.236,0.686000000000007,HARD,2.0,2.0,12,dry,green,4.0,4.0,3.0,3.0,
matched_pair,2026,Australian Grand Prix,Race,race,Ferrari,HAM,LEC,41.0,38.0,82.648,82.579,-0.06900000000000261,HARD,2.0,2.0,13,dry,green,4.0,4.0,3.0,3.0,
matched_pair,2026,Australian Grand Prix,Race,race,Ferrari,HAM,LEC,42.0,39.0,82.636,82.728,0.09199999999999875,HARD,2.0,2.0,14,dry,green,4.0,4.0,3.0,3.0,
matched_pair,2026,Australian Grand Prix,Race,race,Ferrari,HAM,LEC,43.0,40.0,82.559,82.93,0.3710000000000093,HARD,2.0,2.0,15,dry,green,4.0,4.0,3.0,3.0,
matched_pair,2026,Australian Grand Prix,Race,race,Ferrari,HAM,LEC,44.0,41.0,82.837,82.995,0.15800000000000125,HARD,2.0,2.0,16,dry,green,4.0,4.0,3.0,3.0,
matched_pair,2026,Australian Grand Prix,Race,race,Ferrari,HAM,LEC,45.0,42.0,82.529,82.846,0.3170000000000073,HARD,2.0,2.0,17,dry,green,4.0,4.0,3.0,3.0,
matched_pair,2026,Australian Grand Prix,Race,race,Ferrari,HAM,LEC,46.0,43.0,82.945,82.75,-0.19499999999999318,HARD,2.0,2.0,18,dry,green,4.0,4.0,3.0,3.0,
matched_pair,2026,Australian Grand Prix,Race,race,Ferrari,HAM,LEC,47.0,44.0,82.677,83.094,0.4169999999999874,HARD,2.0,2.0,19,dry,green,4.0,4.0,3.0,3.0,
matched_pair,2026,Australian Grand Prix,Race,race,Ferrari,HAM,LEC,48.0,45.0,82.764,83.16,0.3960000000000008,HARD,2.0,2.0,20,dry,green,4.0,4.0,3.0,3.0,
matched_pair,2026,Australian Grand Prix,Race,race,Ferrari,HAM,LEC,49.0,46.0,82.835,82.894,0.05900000000001171,HARD,2.0,2.0,21,dry,green,4.0,4.0,3.0,3.0,
matched_pair,2026,Australian Grand Prix,Race,race,Ferrari,HAM,LEC,51.0,48.0,82.683,82.899,0.21599999999999397,HARD,2.0,2.0,23,dry,green,4.0,4.0,3.0,3.0,
matched_pair,2026,Australian Grand Prix,Race,race,Ferrari,HAM,LEC,52.0,49.0,83.008,83.364,0.35600000000000875,HARD,2.0,2.0,24,dry,green,4.0,4.0,3.0,3.0,
matched_pair,2026,Australian Grand Prix,Race,race,Ferrari,HAM,LEC,53.0,50.0,83.165,83.2,0.03499999999999659,HARD,2.0,2.0,25,dry,green,4.0,4.0,3.0,3.0,
matched_pair,2026,Australian Grand Prix,Race,race,Ferrari,HAM,LEC,54.0,51.0,82.554,82.989,0.4350000000000023,HARD,2.0,2.0,26,dry,green,4.0,4.0,3.0,3.0,
matched_pair,2026,Australian Grand Prix,Race,race,Ferrari,HAM,LEC,55.0,52.0,82.423,83.049,0.6260000000000048,HARD,2.0,2.0,27,dry,green,4.0,4.0,3.0,3.0,
matched_pair,2026,Australian Grand Prix,Race,race,Ferrari,HAM,LEC,56.0,53.0,82.5,83.014,0.5139999999999958,HARD,2.0,2.0,28,dry,green,4.0,4.0,3.0,3.0,
matched_pair,2026,Australian Grand Prix,Race,race,Ferrari,HAM,LEC,57.0,54.0,82.716,83.045,0.32900000000000773,HARD,2.0,2.0,29,dry,green,4.0,4.0,3.0,3.0,
matched_pair,2026,Australian Grand Prix,Race,race,Ferrari,HAM,LEC,4.0,4.0,85.066,84.553,-0.5130000000000052,MEDIUM,1.0,1.0,4,dry,green,3.0,3.0,1.0,1.0,
matched_pair,2026,Australian Grand Prix,Race,race,Ferrari,HAM,LEC,5.0,5.0,84.502,83.981,-0.5210000000000008,MEDIUM,1.0,1.0,5,dry,green,3.0,3.0,1.0,1.0,
matched_pair,2026,Australian Grand Prix,Race,race,Ferrari,HAM,LEC,6.0,6.0,84.703,84.822,0.11899999999999977,MEDIUM,1.0,1.0,6,dry,green,3.0,3.0,1.0,1.0,
matched_pair,2026,Australian Grand Prix,Race,race,Ferrari,HAM,LEC,7.0,7.0,84.365,84.034,-0.33099999999998886,MEDIUM,1.0,1.0,7,dry,green,3.0,3.0,1.0,1.0,
matched_pair,2026,Australian Grand Prix,Race,race,Ferrari,HAM,LEC,10.0,10.0,84.255,83.977,-0.2779999999999916,MEDIUM,1.0,1.0,10,dry,green,3.0,3.0,1.0,1.0,
matched_pair,2026,Australian Grand Prix,Race,race,Ferrari,HAM,LEC,11.0,11.0,84.073,83.798,-0.2749999999999915,MEDIUM,1.0,1.0,11,dry,green,3.0,3.0,1.0,1.0,
matched_pair,2026,Australian Grand Prix,Race,race,Ferrari,HAM,LEC,15.0,15.0,83.703,83.765,0.06199999999999761,MEDIUM,1.0,1.0,15,dry,green,2.0,2.0,1.0,1.0,
matched_pair,2026,Australian Grand Prix,Race,race,Ferrari,HAM,LEC,16.0,16.0,83.412,83.511,0.09899999999998954,MEDIUM,1.0,1.0,16,dry,green,2.0,2.0,1.0,1.0,
matched_pair,2026,Australian Grand Prix,Race,race,Ferrari,HAM,LEC,17.0,17.0,84.045,84.356,0.31099999999999284,MEDIUM,1.0,1.0,17,dry,green,2.0,2.0,1.0,1.0,
matched_pair,2026,Australian Grand Prix,Race,race,Ferrari,HAM,LEC,21.0,21.0,83.617,83.322,-0.2950000000000017,MEDIUM,1.0,1.0,21,dry,green,2.0,2.0,1.0,1.0,
matched_pair,2026,Australian Grand Prix,Race,race,Ferrari,HAM,LEC,22.0,22.0,83.509,83.416,-0.09300000000000352,MEDIUM,1.0,1.0,22,dry,green,2.0,2.0,1.0,1.0,
matched_pair,2026,Australian Grand Prix,Race,race,Ferrari,HAM,LEC,23.0,23.0,83.382,83.476,0.09399999999999409,MEDIUM,1.0,1.0,23,dry,green,2.0,2.0,1.0,1.0,
matched_pair,2026,Australian Grand Prix,Race,race,Ferrari,HAM,LEC,24.0,24.0,84.329,83.66,-0.6689999999999969,MEDIUM,1.0,1.0,24,dry,green,2.0,2.0,1.0,1.0,
matched_pair,2026,Australian Grand Prix,Race,race,Haas F1 Team,BEA,OCO,21.0,14.0,84.203,85.303,1.0999999999999943,HARD,2.0,2.0,3,dry,green,8.0,8.0,10.0,10.0,
matched_pair,2026,Australian Grand Prix,Race,race,Haas F1 Team,BEA,OCO,22.0,15.0,84.02,85.36,1.3400000000000034,HARD,2.0,2.0,4,dry,green,8.0,8.0,10.0,10.0,
matched_pair,2026,Australian Grand Prix,Race,race,Haas F1 Team,BEA,OCO,23.0,16.0,84.968,85.43,0.4620000000000033,HARD,2.0,2.0,5,dry,green,8.0,8.0,10.0,10.0,
matched_pair,2026,Australian Grand Prix,Race,race,Haas F1 Team,BEA,OCO,24.0,17.0,84.692,85.716,1.024000000000001,HARD,2.0,2.0,6,dry,green,8.0,8.0,10.0,10.0,
matched_pair,2026,Australian Grand Prix,Race,race,Haas F1 Team,BEA,OCO,29.0,22.0,85.315,84.821,-0.4939999999999998,HARD,2.0,2.0,11,dry,green,8.0,8.0,11.0,11.0,
matched_pair,2026,Australian Grand Prix,Race,race,Haas F1 Team,BEA,OCO,30.0,23.0,84.509,84.65,0.14100000000000534,HARD,2.0,2.0,12,dry,green,8.0,8.0,11.0,11.0,
matched_pair,2026,Australian Grand Prix,Race,race,Haas F1 Team,BEA,OCO,31.0,24.0,84.627,85.255,0.6280000000000001,HARD,2.0,2.0,13,dry,green,8.0,8.0,11.0,11.0,
matched_pair,2026,Australian Grand Prix,Race,race,Haas F1 Team,BEA,OCO,32.0,25.0,85.006,84.424,-0.5819999999999936,HARD,2.0,2.0,14,dry,green,8.0,8.0,11.0,11.0,
matched_pair,2026,Australian Grand Prix,Race,race,Haas F1 Team,BEA,OCO,35.0,28.0,84.914,84.737,-0.1770000000000067,HARD,2.0,2.0,17,dry,green,8.0,7.0,11.0,11.0,
matched_pair,2026,Australian Grand Prix,Race,race,Haas F1 Team,BEA,OCO,36.0,29.0,84.598,84.769,0.17100000000000648,HARD,2.0,2.0,18,dry,green,7.0,7.0,11.0,11.0,
matched_pair,2026,Australian Grand Prix,Race,race,Haas F1 Team,BEA,OCO,37.0,30.0,84.5,84.966,0.465999999999994,HARD,2.0,2.0,19,dry,green,7.0,7.0,11.0,11.0,
matched_pair,2026,Australian Grand Prix,Race,race,Haas F1 Team,BEA,OCO,38.0,31.0,85.093,85.307,0.21399999999999864,HARD,2.0,2.0,20,dry,green,7.0,8.0,11.0,11.0,
matched_pair,2026,Australian Grand Prix,Race,race,Haas F1 Team,BEA,OCO,39.0,32.0,84.756,85.045,0.2890000000000015,HARD,2.0,2.0,21,dry,green,8.0,8.0,11.0,11.0,
matched_pair,2026,Australian Grand Prix,Race,race,Haas F1 Team,BEA,OCO,42.0,35.0,84.503,85.199,0.695999999999998,HARD,2.0,2.0,24,dry,green,7.0,7.0,10.0,10.0,
matched_pair,2026,Australian Grand Prix,Race,race,Haas F1 Team,BEA,OCO,43.0,36.0,84.549,85.018,0.4689999999999941,HARD,2.0,2.0,25,dry,green,7.0,7.0,10.0,10.0,
matched_pair,2026,Australian Grand Prix,Race,race,Haas F1 Team,BEA,OCO,44.0,37.0,84.612,85.462,0.8500000000000085,HARD,2.0,2.0,26,dry,green,7.0,7.0,10.0,9.0,
matched_pair,2026,Australian Grand Prix,Race,race,Haas F1 Team,BEA,OCO,46.0,39.0,84.55,85.913,1.3629999999999995,HARD,2.0,2.0,28,dry,green,7.0,7.0,10.0,11.0,
matched_pair,2026,Australian Grand Prix,Race,race,Haas F1 Team,BEA,OCO,47.0,40.0,84.76,85.433,0.6730000000000018,HARD,2.0,2.0,29,dry,green,7.0,7.0,11.0,11.0,
matched_pair,2026,Australian Grand Prix,Race,race,Haas F1 Team,BEA,OCO,48.0,41.0,84.404,85.164,0.7600000000000051,HARD,2.0,2.0,30,dry,green,7.0,7.0,11.0,11.0,
matched_pair,2026,Australian Grand Prix,Race,race,Haas F1 Team,BEA,OCO,49.0,42.0,84.281,85.249,0.9679999999999893,HARD,2.0,2.0,31,dry,green,7.0,7.0,11.0,11.0,
