reference_driver_code,comparison_driver_code,team,year,race_name,session_name,session_kind,matched_gap_median_s,matched_gap_se_s,n_matched_pairs,weather_bucket,skip_reason
BEA,OCO,Haas F1 Team,2026,Japanese Grand Prix,Race,race,-0.21749999999999403,0.16716405219268218,12,dry,
BOR,HUL,Audi,2026,Japanese Grand Prix,Race,race,-0.4065000000000083,0.07648879626960814,38,dry,
BOT,PER,Cadillac,2026,Japanese Grand Prix,Race,race,0.49500000000000455,1.419160783897572,19,dry,
COL,GAS,Alpine,2026,Japanese Grand Prix,Race,race,-0.9570000000000007,0.08593548532585965,28,dry,
HAD,VER,Red Bull Racing,2026,Japanese Grand Prix,Race,race,-0.8990000000000009,0.13645165092515663,31,dry,
HAM,LEC,Ferrari,2026,Japanese Grand Prix,Race,race,-0.06799999999999784,0.09443175515635405,27,dry,
LAW,LIN,Racing Bulls,2026,Japanese Grand Prix,Race,race,0.04200000000000159,0.07650700431033958,29,dry,
NOR,PIA,McLaren,2026,Japanese Grand Prix,Race,race,-0.22299999999999898,0.08227990223351932,33,dry,
ALB,SAI,Williams,2026,Japanese Grand Prix,Qualifying,qualifying,0.07900000000000773,0.11786482750512506,3,dry,
ALO,STR,Aston Martin,2026,Japanese Grand Prix,Qualifying,qualifying,0.5619999999999976,0.4873721564362732,3,dry,
ANT,RUS,Mercedes,2026,Japanese Grand Prix,Qualifying,qualifying,0.34949999999999903,0.10193816109380166,4,dry,
BEA,OCO,Haas F1 Team,2026,Japanese Grand Prix,Qualifying,qualifying,-0.22500000000000853,0.15057990916861091,3,dry,
BOR,HUL,Audi,2026,Japanese Grand Prix,Qualifying,qualifying,0.09100000000000819,0.18674121399686897,5,dry,
COL,GAS,Alpine,2026,Japanese Grand Prix,Qualifying,qualifying,-0.722999999999999,0.105132003050103,4,dry,
HAD,VER,Red Bull Racing,2026,Japanese Grand Prix,Qualifying,qualifying,0.04399999999999693,0.10674738072410511,4,dry,
HAM,LEC,Ferrari,2026,Japanese Grand Prix,Qualifying,qualifying,-0.29399999999999693,0.11617479293100925,4,dry,
LAW,LIN,Racing Bulls,2026,Japanese Grand Prix,Qualifying,qualifying,0.016500000000000625,0.3159149828385974,4,dry,
NOR,PIA,McLaren,2026,Japanese Grand Prix,Qualifying,qualifying,-0.31050000000000466,0.08638816771617083,4,dry,
