year,race_name,team,profile,practice_signal,n_sessions
2022,Azerbaijan Grand Prix,Red Bull Racing,balanced,0.9555555555555555,3
2022,Azerbaijan Grand Prix,Red Bull Racing,long_run,0.9555555555555555,3
2022,Azerbaijan Grand Prix,Red Bull Racing,short_run,0.9555555555555555,3
2022,Azerbaijan Grand Prix,Williams,balanced,0.07288888888888888,3
2022,Azerbaijan Grand Prix,Williams,long_run,0.32977777777777784,3
2022,Azerbaijan Grand Prix,Williams,short_run,0.13333333333333333,3
2022,Bahrain Grand Prix,Alfa Romeo,balanced,0.8826666666666666,3
2022,Bahrain Grand Prix,Alfa Romeo,long_run,0.42044444444444445,3
2022,Bahrain Grand Prix,Alfa Romeo,short_run,0.7653333333333334,3
2022,Bahrain Grand Prix,AlphaTauri,balanced,0.368,3
2022,Bahrain Grand Prix,AlphaTauri,long_run,0.6204444444444445,3
2022,Bahrain Grand Prix,AlphaTauri,short_run,0.24444444444444452,3
2022,Bahrain Grand Prix,Alpine,balanced,0.4924444444444444,3
2022,Bahrain Grand Prix,Alpine,long_run,0.5511111111111111,3
2022,Bahrain Grand Prix,Alpine,short_run,0.44800000000000006,3
2022,Bahrain Grand Prix,Aston Martin,balanced,0.12088888888888889,3
2022,Bahrain Grand Prix,Aston Martin,long_run,0.44000000000000006,3
2022,Bahrain Grand Prix,Aston Martin,short_run,0.0,3
2022,Bahrain Grand Prix,Ferrari,balanced,0.9395555555555555,3
2022,Bahrain Grand Prix,Ferrari,long_run,0.9093333333333333,3
2022,Bahrain Grand Prix,Ferrari,short_run,0.8284444444444444,3
2022,Bahrain Grand Prix,Haas F1 Team,balanced,0.6026666666666667,3
2022,Bahrain Grand Prix,Haas F1 Team,long_run,0.3777777777777778,3
2022,Bahrain Grand Prix,Haas F1 Team,short_run,0.6248888888888888,3
2022,Bahrain Grand Prix,McLaren,balanced,0.30488888888888893,3
2022,Bahrain Grand Prix,McLaren,long_run,0.16355555555555557,3
2022,Bahrain Grand Prix,McLaren,short_run,0.6968888888888889,3
2022,Bahrain Grand Prix,Mercedes,balanced,0.5493333333333335,3
2022,Bahrain Grand Prix,Mercedes,long_run,0.6604444444444445,3
2022,Bahrain Grand Prix,Mercedes,short_run,0.5173333333333334,3
2022,Bahrain Grand Prix,Red Bull Racing,balanced,0.5395555555555556,3
2022,Bahrain Grand Prix,Red Bull Racing,long_run,0.5742222222222223,3
2022,Bahrain Grand Prix,Red Bull Racing,short_run,0.6888888888888889,3
2022,Bahrain Grand Prix,Williams,balanced,0.20000000000000004,3
2022,Bahrain Grand Prix,Williams,long_run,0.2826666666666667,3
2022,Bahrain Grand Prix,Williams,short_run,0.18577777777777776,3
2022,Belgian Grand Prix,Alfa Romeo,balanced,0.5111111111111111,3
2022,Belgian Grand Prix,Alfa Romeo,long_run,0.5315555555555556,3
2022,Belgian Grand Prix,Alfa Romeo,short_run,0.4666666666666667,3
2022,Belgian Grand Prix,AlphaTauri,balanced,0.5155555555555557,3
2022,Belgian Grand Prix,AlphaTauri,long_run,0.2915555555555555,3
2022,Belgian Grand Prix,AlphaTauri,short_run,0.5457777777777778,3
2022,Belgian Grand Prix,Alpine,balanced,0.41600000000000004,3
2022,Belgian Grand Prix,Alpine,long_run,0.14133333333333337,3
2022,Belgian Grand Prix,Alpine,short_run,0.5493333333333335,3
2022,Belgian Grand Prix,Aston Martin,balanced,0.5822222222222223,3
2022,Belgian Grand Prix,Aston Martin,long_run,0.687111111111111,3
2022,Belgian Grand Prix,Aston Martin,short_run,0.5377777777777778,3
2022,Belgian Grand Prix,Ferrari,balanced,0.647111111111111,3
2022,Belgian Grand Prix,Ferrari,long_run,0.7493333333333333,3
2022,Belgian Grand Prix,Ferrari,short_run,0.647111111111111,3
2022,Belgian Grand Prix,Haas F1 Team,balanced,0.3555555555555555,3
2022,Belgian Grand Prix,Haas F1 Team,long_run,0.2968888888888889,3
2022,Belgian Grand Prix,Haas F1 Team,short_run,0.28088888888888885,3
2022,Belgian Grand Prix,McLaren,balanced,0.21155555555555558,3
2022,Belgian Grand Prix,McLaren,long_run,0.3493333333333334,3
2022,Belgian Grand Prix,McLaren,short_run,0.21155555555555558,3
2022,Belgian Grand Prix,Mercedes,balanced,0.39555555555555555,3
2022,Belgian Grand Prix,Mercedes,long_run,0.4924444444444444,3
2022,Belgian Grand Prix,Mercedes,short_run,0.39555555555555555,3
2022,Belgian Grand Prix,Red Bull Racing,balanced,0.9271111111111111,3
2022,Belgian Grand Prix,Red Bull Racing,long_run,1.0,3
2022,Belgian Grand Prix,Red Bull Racing,short_run,0.9271111111111111,3
2022,Belgian Grand Prix,Williams,balanced,0.43822222222222224,3
2022,Belgian Grand Prix,Williams,long_run,0.4604444444444445,3
2022,Belgian Grand Prix,Williams,short_run,0.43822222222222224,3
2022,British Grand Prix,Alfa Romeo,balanced,0.6056166056166057,2
2022,British Grand Prix,Alfa Romeo,long_run,0.5164835164835166,2
2022,British Grand Prix,Alfa Romeo,short_run,0.41636141636141644,2
2022,British Grand Prix,AlphaTauri,balanced,0.3583638583638584,2
2022,British Grand Prix,AlphaTauri,long_run,0.5054945054945055,2
2022,British Grand Prix,AlphaTauri,short_run,0.4444444444444444,2
2022,British Grand Prix,Alpine,balanced,0.40048840048840045,2
2022,British Grand Prix,Alpine,long_run,0.40048840048840045,2
2022,British Grand Prix,Alpine,short_run,0.31135531135531136,2
2022,British Grand Prix,Aston Martin,balanced,0.7167277167277168,2
2022,British Grand Prix,Aston Martin,long_run,0.4945054945054945,2
2022,British Grand Prix,Aston Martin,short_run,0.7277167277167278,2
2022,British Grand Prix,Ferrari,balanced,0.5885225885225885,2
2022,British Grand Prix,Ferrari,long_run,0.7277167277167278,2
2022,British Grand Prix,Ferrari,short_run,0.8888888888888888,2
2022,British Grand Prix,Haas F1 Team,balanced,0.29426129426129427,2
2022,British Grand Prix,Haas F1 Team,long_run,0.23321123321123327,2
2022,British Grand Prix,Haas F1 Team,short_run,0.45543345543345554,2
2022,British Grand Prix,McLaren,balanced,0.2973137973137973,2
2022,British Grand Prix,McLaren,long_run,0.2222222222222222,2
2022,British Grand Prix,McLaren,short_run,0.6336996336996338,2
2022,British Grand Prix,Mercedes,balanced,0.877899877899878,2
2022,British Grand Prix,Mercedes,long_run,0.8388278388278388,2
2022,British Grand Prix,Mercedes,short_run,0.35042735042735046,2
2022,British Grand Prix,Red Bull Racing,balanced,0.5494505494505495,2
2022,British Grand Prix,Red Bull Racing,long_run,1.0,2
2022,British Grand Prix,Red Bull Racing,short_run,0.5494505494505495,2
2022,British Grand Prix,Williams,balanced,0.31135531135531136,2
2022,British Grand Prix,Williams,long_run,0.06105006105006108,2
2022,British Grand Prix,Williams,short_run,0.2222222222222222,2
2022,Canadian Grand Prix,Alfa Romeo,balanced,0.12148148148148147,2
2022,Canadian Grand Prix,Alfa Romeo,long_run,0.282962962962963,2
2022,Canadian Grand Prix,Alfa Romeo,short_run,0.12148148148148147,2
2022,Canadian Grand Prix,AlphaTauri,balanced,0.8281481481481482,2
2022,Canadian Grand Prix,AlphaTauri,long_run,0.362962962962963,2
2022,Canadian Grand Prix,AlphaTauri,short_run,0.6162962962962965,2
