year,race_name,is_normal_weekend,cache_event_dir,available_sessions
2023,Mexico City Grand Prix,False,data/raw/.fastf1_cache/2023/2023-10-29_Mexico_City_Grand_Prix,"['qualifying', 'race']"
2023,Miami Grand Prix,False,data/raw/.fastf1_cache/2023/2023-05-07_Miami_Grand_Prix,"['qualifying', 'race']"
2023,Monaco Grand Prix,False,data/raw/.fastf1_cache/2023/2023-05-28_Monaco_Grand_Prix,"['qualifying', 'race']"
2023,Qatar Grand Prix,False,data/raw/.fastf1_cache/2023/2023-10-08_Qatar_Grand_Prix,"['qualifying', 'race']"
2023,Saudi Arabian Grand Prix,True,data/raw/.fastf1_cache/2023/2023-03-19_Saudi_Arabian_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2023,Singapore Grand Prix,False,data/raw/.fastf1_cache/2023/2023-09-17_Singapore_Grand_Prix,"['qualifying', 'race']"
2023,Spanish Grand Prix,False,data/raw/.fastf1_cache/2023/2023-06-04_Spanish_Grand_Prix,"['qualifying', 'race']"
2023,São Paulo Grand Prix,False,data/raw/.fastf1_cache/2023/2023-11-05_São_Paulo_Grand_Prix,"['qualifying', 'race']"
2023,United States Grand Prix,False,data/raw/.fastf1_cache/2023/2023-10-22_United_States_Grand_Prix,"['qualifying', 'race']"
2024,Abu Dhabi Grand Prix,False,data/raw/.fastf1_cache/2024/2024-12-08_Abu_Dhabi_Grand_Prix,"['qualifying', 'race']"
2024,Australian Grand Prix,True,data/raw/.fastf1_cache/2024/2024-03-24_Australian_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2024,Austrian Grand Prix,False,data/raw/.fastf1_cache/2024/2024-06-30_Austrian_Grand_Prix,"['qualifying', 'race']"
2024,Azerbaijan Grand Prix,False,data/raw/.fastf1_cache/2024/2024-09-15_Azerbaijan_Grand_Prix,"['qualifying', 'race']"
2024,Bahrain Grand Prix,True,data/raw/.fastf1_cache/2024/2024-03-02_Bahrain_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2024,Belgian Grand Prix,False,data/raw/.fastf1_cache/2024/2024-07-28_Belgian_Grand_Prix,"['qualifying', 'race']"
2024,British Grand Prix,False,data/raw/.fastf1_cache/2024/2024-07-07_British_Grand_Prix,"['qualifying', 'race']"
2024,Canadian Grand Prix,False,data/raw/.fastf1_cache/2024/2024-06-09_Canadian_Grand_Prix,"['qualifying', 'race']"
2024,Chinese Grand Prix,False,data/raw/.fastf1_cache/2024/2024-04-21_Chinese_Grand_Prix,"['practice1', 'qualifying', 'race', 'sprint', 'sprintqualifying']"
2024,Dutch Grand Prix,False,data/raw/.fastf1_cache/2024/2024-08-25_Dutch_Grand_Prix,"['qualifying', 'race']"
2024,Emilia Romagna Grand Prix,False,data/raw/.fastf1_cache/2024/2024-05-19_Emilia_Romagna_Grand_Prix,"['qualifying', 'race']"
2024,Hungarian Grand Prix,False,data/raw/.fastf1_cache/2024/2024-07-21_Hungarian_Grand_Prix,"['qualifying', 'race']"
2024,Italian Grand Prix,False,data/raw/.fastf1_cache/2024/2024-09-01_Italian_Grand_Prix,"['qualifying', 'race']"
2024,Japanese Grand Prix,True,data/raw/.fastf1_cache/2024/2024-04-07_Japanese_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2024,Las Vegas Grand Prix,False,data/raw/.fastf1_cache/2024/2024-11-23_Las_Vegas_Grand_Prix,"['qualifying', 'race']"
2024,Mexico City Grand Prix,False,data/raw/.fastf1_cache/2024/2024-10-27_Mexico_City_Grand_Prix,"['qualifying', 'race']"
2024,Miami Grand Prix,False,data/raw/.fastf1_cache/2024/2024-05-05_Miami_Grand_Prix,"['practice1', 'qualifying', 'race', 'sprint', 'sprintqualifying']"
2024,Monaco Grand Prix,False,data/raw/.fastf1_cache/2024/2024-05-26_Monaco_Grand_Prix,"['qualifying', 'race']"
2024,Qatar Grand Prix,False,data/raw/.fastf1_cache/2024/2024-12-01_Qatar_Grand_Prix,"['qualifying', 'race']"
2024,Saudi Arabian Grand Prix,True,data/raw/.fastf1_cache/2024/2024-03-09_Saudi_Arabian_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2024,Singapore Grand Prix,False,data/raw/.fastf1_cache/2024/2024-09-22_Singapore_Grand_Prix,"['qualifying', 'race']"
2024,Spanish Grand Prix,False,data/raw/.fastf1_cache/2024/2024-06-23_Spanish_Grand_Prix,"['qualifying', 'race']"
2024,São Paulo Grand Prix,False,data/raw/.fastf1_cache/2024/2024-11-03_São_Paulo_Grand_Prix,"['qualifying', 'race']"
2024,United States Grand Prix,False,data/raw/.fastf1_cache/2024/2024-10-20_United_States_Grand_Prix,"['qualifying', 'race']"
2025,Abu Dhabi Grand Prix,True,data/raw/.fastf1_cache/2025/2025-12-07_Abu_Dhabi_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2025,Australian Grand Prix,True,data/raw/.fastf1_cache/2025/2025-03-16_Australian_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2025,Austrian Grand Prix,True,data/raw/.fastf1_cache/2025/2025-06-29_Austrian_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2025,Azerbaijan Grand Prix,True,data/raw/.fastf1_cache/2025/2025-09-21_Azerbaijan_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2025,Bahrain Grand Prix,True,data/raw/.fastf1_cache/2025/2025-04-13_Bahrain_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2025,Belgian Grand Prix,False,data/raw/.fastf1_cache/2025/2025-07-27_Belgian_Grand_Prix,"['practice1', 'qualifying', 'race', 'sprint', 'sprintqualifying']"
2025,British Grand Prix,True,data/raw/.fastf1_cache/2025/2025-07-06_British_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2025,Canadian Grand Prix,True,data/raw/.fastf1_cache/2025/2025-06-15_Canadian_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2025,Chinese Grand Prix,False,data/raw/.fastf1_cache/2025/2025-03-23_Chinese_Grand_Prix,"['practice1', 'qualifying', 'race', 'sprint', 'sprintqualifying']"
2025,Dutch Grand Prix,True,data/raw/.fastf1_cache/2025/2025-08-31_Dutch_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2025,Emilia Romagna Grand Prix,True,data/raw/.fastf1_cache/2025/2025-05-18_Emilia_Romagna_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2025,Hungarian Grand Prix,True,data/raw/.fastf1_cache/2025/2025-08-03_Hungarian_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2025,Italian Grand Prix,True,data/raw/.fastf1_cache/2025/2025-09-07_Italian_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2025,Japanese Grand Prix,True,data/raw/.fastf1_cache/2025/2025-04-06_Japanese_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2025,Las Vegas Grand Prix,True,data/raw/.fastf1_cache/2025/2025-11-22_Las_Vegas_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2025,Mexico City Grand Prix,True,data/raw/.fastf1_cache/2025/2025-10-26_Mexico_City_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2025,Miami Grand Prix,False,data/raw/.fastf1_cache/2025/2025-05-04_Miami_Grand_Prix,"['practice1', 'qualifying', 'race', 'sprint', 'sprintqualifying']"
2025,Monaco Grand Prix,True,data/raw/.fastf1_cache/2025/2025-05-25_Monaco_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2025,Qatar Grand Prix,False,data/raw/.fastf1_cache/2025/2025-11-30_Qatar_Grand_Prix,"['practice1', 'qualifying', 'race', 'sprint', 'sprintqualifying']"
2025,Saudi Arabian Grand Prix,True,data/raw/.fastf1_cache/2025/2025-04-20_Saudi_Arabian_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2025,Singapore Grand Prix,True,data/raw/.fastf1_cache/2025/2025-10-05_Singapore_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2025,Spanish Grand Prix,True,data/raw/.fastf1_cache/2025/2025-06-01_Spanish_Grand_Prix,"['practice1', 'practice2', 'practice3', 'qualifying', 'race']"
2025,São Paulo Grand Prix,False,data/raw/.fastf1_cache/2025/2025-11-09_São_Paulo_Grand_Prix,"['practice1', 'qualifying', 'race', 'sprint', 'sprintqualifying']"
2025,United States Grand Prix,False,data/raw/.fastf1_cache/2025/2025-10-19_United_States_Grand_Prix,"['practice1', 'qualifying', 'race', 'sprint', 'sprintqualifying']"
